Avg_Degree_Centrality_Top,Avg_Degree_Centrality,Avg_Betweenness_Osc_Top,Avg_Betweenness_Osc,Percentage_Connected_Actors,Avg_Sentiment,Avg_Sentiment_Top,Avg_complextiy,Avg_complexity_Top,Avg_Influence_Top,Avg_Influence,Avg_Influence_Per_Message_Top,Avg_Influence_Per_Message,Avg_Contribution_Index_Top,Avg_Contribution_Index,Avg_Contribution_Index_Oscil_Top,Avg_Contribution_Index_Oscil,Percentage_Isolated_Actors,Percentage_Closed_Issues,Percentage_Creations,Percentage_Solo_Issues,Repository_Name,Target
20.5374,6.4702,4.1963,0.9476,0.0016,0.4381,0.3931,4.5113,6.2401,0.4518,0.1173,0.0879,0.0116,0.5886,-0.167,3.5514,0.9237,0.5581,0.8784,0.3132,0.608,linuxmint_cinnamon,
17.6538,4.9905,4.6154,1.0253,0.0152,0.4753,0.4907,4.3734,5.9353,0.5547,0.1066,0.1679,0.0137,0.6069,-0.1494,4.6923,0.9873,0.3992,0.9213,0.4426,0.6371,linuxmint_cinnamon-spices-applets,
3.75,3.9574,1.5,0.8936,0.2568,0.4891,0.4967,4.39,6.4052,0.0,0.0,0.0,0.0,0.7588,-0.1093,1.25,0.9574,0.3649,0.8847,0.5052,0.5337,linuxmint_cinnamon-spices-extensions,
10.0,3.8231,2.3333,0.4218,0.0082,0.4551,0.3751,3.6598,6.3213,0.0,0.0,0.0,0.0,0.8426,-0.1797,2.25,0.6395,0.3975,0.7832,0.3547,0.4065,linuxmint_xed,
