Betweenness centrality oscillation,Closeness centrality,Messages sent,Reach forward 1,avg sentiment,Betweenness centrality,Degree centrality,most common words (influence),avg complexity,total influence,Messages received,Messages total,Contribution index,avg emotionality,average influence per message,Contribution index oscillation,messages sent (influence),most influential words,Community,Uuid,Name,Starttime,Endtime
3,0.04915824915824916,6,1,0.6186323313641152,46.199999999999996,4.0,,5.5266945988456415,,11,17,-0.29411764705882354,0.36055248991691236,,3,,,10,8678154,mikhail-ekzi,1970-01-01T01:00:00.000+01:00,2018-04-19T11:25:17.000+02:00
7,0.05062413314840499,66,15,0.49958829217649703,589.7892857142858,16.0,,6.316437483228166,0.0,25,91,0.45054945054945056,0.24418328428609304,0.0,8,34,,0,8415124,NikoKrause,1970-01-01T01:00:00.000+01:00,2019-12-08T19:50:12.000+01:00
0,0.013888888888888888,1,0,0.5,1.0,3.0,,0.0,,3,4,-0.5,0.5,,0,,,2,49053218,mdrossmiller,1970-01-01T01:00:00.000+01:00,2019-12-08T19:50:12.000+01:00
0,0.013513513513513514,1,0,0.5,0.0,1.0,,0.0,,1,2,0.0,0.5,,0,,,46,47278150,BeatLink,1970-01-01T01:00:00.000+01:00,2019-06-05T12:38:26.000+02:00
0,0.04942450914014895,1,0,0.5,0.0,3.0,,0.0,,4,5,-0.6,0.5,,0,,,0,14938120,ayanb1991,1970-01-01T01:00:00.000+01:00,2017-09-18T23:10:00.000+02:00
2,0.049026192075218265,8,0,0.5700420222985088,107.0,5.0,,6.495927959708379,,16,24,-0.3333333333333333,0.26638870762374905,,0,,,1,6096063,Piiit,1970-01-01T01:00:00.000+01:00,2018-10-13T16:19:27.000+02:00
0,0.04724919093851133,2,1,0.6659456741227143,0.0,2.0,,7.698294301536409,0.0,1,3,0.3333333333333333,0.23269096903793962,0.0,3,1,,49,5273820,sebastiencs,1970-01-01T01:00:00.000+01:00,2017-06-29T15:38:22.000+02:00
0,0.04821664464993395,2,0,0.6777326652603242,0.0,2.0,,6.331177212008564,,3,5,-0.2,0.2419796438284846,,0,,,18,13596575,Janne-d-Arc,1970-01-01T01:00:00.000+01:00,2019-12-08T19:50:12.000+01:00
9,0.050102951269732326,41,15,0.4042131313457511,491.49523809523805,16.0,,6.271744901933195,0.0,13,54,0.5185185185185185,0.2416731587583155,0.0,9,28,,30,6859057,jaszhix,1970-01-01T01:00:00.000+01:00,2019-12-08T19:50:12.000+01:00
0,0.013513513513513514,1,0,0.5,0.0,1.0,,0.0,,1,2,0.0,0.5,,0,,,20,1023825,nMustaki,1970-01-01T01:00:00.000+01:00,2017-05-24T09:56:15.000+02:00
0,0.0479317137229153,2,1,0.5096405611364674,0.0,1.0,,5.647759540436109,0.0,0,2,1.0,0.3210641533836218,0.0,0,2,,5,7842664,mfreeman72,1970-01-01T01:00:00.000+01:00,2017-08-12T01:44:10.000+02:00
0,0.013886246908883394,1,1,0.39697789057668154,0.0,1.0,,8.938790250766871,0.0,0,1,1.0,0.3194838473455528,0.0,0,1,,2,386567,Ameb,1970-01-01T01:00:00.000+01:00,2019-12-08T19:50:12.000+01:00
0,0.04899328859060403,2,0,0.5,6.571428571428571,3.0,,0.0,,6,8,-0.5,0.5,,0,,,8,2845433,memeplex,1970-01-01T01:00:00.000+01:00,2018-10-13T17:22:02.000+02:00
0,0.04856952761144378,3,3,0.4653552195825614,5.466666666666667,3.0,,6.363391491357935,0.0,0,3,1.0,0.23252533683724283,0.0,0,3,,7,2231759,JosephMcc,1970-01-01T01:00:00.000+01:00,2017-07-01T02:50:42.000+02:00
0,0.013886246908883394,1,1,0.33630638698294013,0.0,1.0,,5.819206996805577,0.0,0,1,1.0,0.2450426471163516,0.0,0,1,,2,2505927,twon33,1970-01-01T01:00:00.000+01:00,2019-12-08T19:50:12.000+01:00
0,0.013513513513513514,4,0,0.5,0.0,1.0,,0.0,,4,8,0.0,0.5,,0,,,48,150479,inguin,1970-01-01T01:00:00.000+01:00,2019-09-27T21:32:22.000+02:00
0,0.013513513513513514,1,0,0.5,0.0,1.0,,0.0,,1,2,0.0,0.5,,0,,,16,2996154,eson57,1970-01-01T01:00:00.000+01:00,2017-12-15T19:06:04.000+01:00
0,0.013513513513513514,1,0,0.5,0.0,1.0,,0.0,,1,2,0.0,0.5,,0,,,40,3267843,MrElectroNick,1970-01-01T01:00:00.000+01:00,2017-04-23T22:48:05.000+02:00
0,0.048312375909993384,2,0,6.710715932843379E-4,0.0,2.0,,5.156814646110212,,3,5,-0.2,0.23139565255970668,,0,,,37,17693551,gisforgirard,1970-01-01T01:00:00.000+01:00,2018-10-12T13:36:40.000+02:00
0,0.04743339831059129,1,0,0.5,0.0,2.0,,0.0,,3,4,-0.5,0.5,,0,,,4,9275768,maxchendt,1970-01-01T01:00:00.000+01:00,2019-02-16T04:18:04.000+01:00
0,0.048312375909993384,2,0,0.30596294808240143,0.0,2.0,,6.735108340009521,,3,5,-0.2,0.298815662791607,,0,,,17,1476029,lucasb-eyer,1970-01-01T01:00:00.000+01:00,2018-10-13T04:23:02.000+02:00
