Betweenness centrality oscillation,Closeness centrality,Messages sent,Reach forward 1,avg sentiment,Betweenness centrality,Degree centrality,most common words (influence),avg complexity,total influence,Messages received,Messages total,Contribution index,avg emotionality,average influence per message,Contribution index oscillation,messages sent (influence),most influential words,Community,Uuid,Name,Starttime,Endtime
0,0.01888845705402254,1,0,0.5,0.0,2.0,,0.0,,2,3,-0.3333333333333333,0.5,,0,,,48,1151423,unxed,1970-01-01T01:00:00.000+01:00,2019-12-08T17:06:42.000+01:00
0,0.01885621168619539,3,1,0.31329044180355087,0.0,2.0,,6.455275099284425,0.0,2,5,0.2,0.21350101938687302,0.0,3,1,,42,15708310,nstommel,1970-01-01T01:00:00.000+01:00,2017-02-10T11:43:54.000+01:00
0,0.018878185208203852,1,1,4.4755947886081733E-5,0.0,1.0,,6.937101368071127,0.0,0,1,1.0,0.3479413839010015,0.0,0,1,,27,13907452,rudolphi,1970-01-01T01:00:00.000+01:00,2019-12-08T17:06:42.000+01:00
0,0.004098360655737705,1,0,0.5,0.0,1.0,,0.0,,1,2,0.0,0.5,,0,,,165,28591861,alexanderdd,1970-01-01T01:00:00.000+01:00,2019-12-08T17:06:42.000+01:00
3,0.019142902158500077,9,0,0.5030069981572833,95.83333333333331,4.0,,6.131967736105082,,25,34,-0.47058823529411764,0.2803106117550665,,0,,,38,1149225,kiplingw,1970-01-01T01:00:00.000+01:00,2018-02-12T03:17:49.000+01:00
0,0.019138379144679845,3,0,0.5784003094202821,0.0,2.0,,5.93167974436501,,4,7,-0.14285714285714285,0.25728801983155836,,0,,,116,2395181,jeisner,1970-01-01T01:00:00.000+01:00,2017-02-14T05:49:39.000+01:00
0,0.004098360655737705,1,0,0.5,0.0,1.0,,0.0,,1,2,0.0,0.5,,0,,,133,6993730,crazyliuzc,1970-01-01T01:00:00.000+01:00,2017-11-13T10:42:45.000+01:00
0,0.018867924528301886,2,2,0.6553919996568294,0.5,2.0,,6.515696469547365,0.0,0,2,1.0,0.2257855464896586,0.0,0,2,,40,14296809,schaetzc,1970-01-01T01:00:00.000+01:00,2019-12-08T17:06:42.000+01:00
0,0.004098360655737705,1,0,0.5,0.0,1.0,,0.0,,1,2,0.0,0.5,,0,,,160,15627077,efezus,1970-01-01T01:00:00.000+01:00,2019-12-08T17:06:42.000+01:00
0,0.019138379144679845,1,0,0.5,0.0,2.0,,0.0,,3,4,-0.5,0.5,,0,,,9,4631165,whowe-gh,1970-01-01T01:00:00.000+01:00,2017-02-10T23:09:22.000+01:00
