Time,Avg. messages per day,Sentiment,Emotionality,Complexity,Influence
Wed Jan 27 00:00:00 CET 2016,1.3858101158101164,0.3403772732031108,0.21358070518458536,6.3536802154060075,0.0
Thu Jan 28 00:00:00 CET 2016,1.3858101158101164,0.3403772732031108,0.21358070518458536,6.3536802154060075,0.0
Fri Jan 29 00:00:00 CET 2016,1.3858101158101164,0.3403772732031108,0.21358070518458536,6.3536802154060075,0.0
Sat Jan 30 00:00:00 CET 2016,1.3858101158101164,0.3403772732031108,0.21358070518458536,6.3536802154060075,0.0
Sun Jan 31 00:00:00 CET 2016,1.4547756330514958,0.3403772732031108,0.21358070518458536,6.3536802154060075,0.0
Mon Feb 01 00:00:00 CET 2016,1.4547756330514958,0.3403772732031108,0.21358070518458536,6.3536802154060075,0.0
Tue Feb 02 00:00:00 CET 2016,1.4547756330514958,0.3403772732031108,0.21358070518458536,6.3536802154060075,0.0
Wed Feb 03 00:00:00 CET 2016,1.4547756330514958,0.3403772732031108,0.21358070518458536,6.3536802154060075,0.0
Thu Feb 04 00:00:00 CET 2016,1.4547756330514958,0.3403772732031108,0.21358070518458536,6.3536802154060075,0.0
Fri Feb 05 00:00:00 CET 2016,1.4547756330514958,0.3403772732031108,0.21358070518458536,6.3536802154060075,0.0
Sat Feb 06 00:00:00 CET 2016,1.6271894261549444,0.37956433886945257,0.21118894757403653,6.293426340848529,0.0
Sun Feb 07 00:00:00 CET 2016,1.6271894261549444,0.37956433886945257,0.21118894757403653,6.293426340848529,0.0
Mon Feb 08 00:00:00 CET 2016,1.6616721847756342,0.37956433886945257,0.21118894757403653,6.293426340848529,0.0
Tue Feb 09 00:00:00 CET 2016,1.6616721847756342,0.37956433886945257,0.21118894757403653,6.293426340848529,0.0
Wed Feb 10 00:00:00 CET 2016,1.6616721847756342,0.37956433886945257,0.21118894757403653,6.293426340848529,0.0
Thu Feb 11 00:00:00 CET 2016,1.5950055181089675,0.37956433886945257,0.21118894757403653,6.293426340848529,0.0
Fri Feb 12 00:00:00 CET 2016,1.5950055181089675,0.37956433886945257,0.21118894757403653,6.293426340848529,0.0
Sat Feb 13 00:00:00 CET 2016,1.5950055181089675,0.37956433886945257,0.21118894757403653,6.293426340848529,0.0
Sun Feb 14 00:00:00 CET 2016,0.8727832958867435,0.4588026733526597,0.20221455295271248,6.617635838498397,0.0
Mon Feb 15 00:00:00 CET 2016,0.8727832958867435,0.4588026733526597,0.20221455295271248,6.617635838498397,0.0
Tue Feb 16 00:00:00 CET 2016,0.8727832958867435,0.4588026733526597,0.20221455295271248,6.617635838498397,0.0
Wed Feb 17 00:00:00 CET 2016,0.8727832958867435,0.4588026733526597,0.20221455295271248,6.617635838498397,0.0
Thu Feb 18 00:00:00 CET 2016,0.7364196595231075,0.4588026733526597,0.20221455295271248,6.617635838498397,0.0
Fri Feb 19 00:00:00 CET 2016,0.7364196595231075,0.4588026733526597,0.20221455295271248,6.617635838498397,0.0
Sat Feb 20 00:00:00 CET 2016,0.7364196595231075,0.4588026733526597,0.20221455295271248,6.617635838498397,0.0
Sun Feb 21 00:00:00 CET 2016,0.6164196595231077,0.4894518958394747,0.1938610001530514,6.758709781595446,0.0
Mon Feb 22 00:00:00 CET 2016,0.3856504287538771,0.5029449492063761,0.19709137928764447,6.404596627878016,0.0
Tue Feb 23 00:00:00 CET 2016,0.311576354679803,0.5265158351182346,0.20221985653447838,6.067474311257985,0.0
Wed Feb 24 00:00:00 CET 2016,0.2758620689655173,0.5265158351182346,0.20221985653447838,6.067474311257985,0.0
Thu Feb 25 00:00:00 CET 2016,0.2758620689655173,0.5265158351182346,0.20221985653447838,6.067474311257985,0.0
Fri Feb 26 00:00:00 CET 2016,0.2758620689655173,0.5265158351182346,0.20221985653447838,6.067474311257985,0.0
Sat Feb 27 00:00:00 CET 2016,0.2758620689655173,0.5265158351182346,0.20221985653447838,6.067474311257985,0.0
Sun Feb 28 00:00:00 CET 2016,0.2758620689655173,0.5265158351182346,0.20221985653447838,6.067474311257985,0.0
Mon Feb 29 00:00:00 CET 2016,0.20689655172413796,0.5265158351182346,0.20221985653447838,6.067474311257985,0.0
Tue Mar 01 00:00:00 CET 2016,0.20689655172413796,0.5265158351182346,0.20221985653447838,6.067474311257985,0.0
Wed Mar 02 00:00:00 CET 2016,0.20689655172413796,0.5265158351182346,0.20221985653447838,6.067474311257985,0.0
Thu Mar 03 00:00:00 CET 2016,0.20689655172413796,0.5265158351182346,0.20221985653447838,6.067474311257985,0.0
Fri Mar 04 00:00:00 CET 2016,0.20689655172413796,0.5265158351182346,0.20221985653447838,6.067474311257985,0.0
Sat Mar 05 00:00:00 CET 2016,0.20689655172413796,0.5265158351182346,0.20221985653447838,6.067474311257985,0.0
Sun Mar 06 00:00:00 CET 2016,0.034482758620689655,0.0,0.0,0.0,0.0
Mon Mar 07 00:00:00 CET 2016,0.034482758620689655,0.0,0.0,0.0,0.0
Tue Mar 08 00:00:00 CET 2016,0.0,0.0,0.0,0.0,0.0
Wed Mar 09 00:00:00 CET 2016,0.0,0.0,0.0,0.0,0.0
Thu Mar 10 00:00:00 CET 2016,0.0,0.0,0.0,0.0,0.0
Fri Mar 11 00:00:00 CET 2016,0.1724137931034483,0.25853492605547795,0.23427768600890642,6.551848365745957,0.0
Sat Mar 12 00:00:00 CET 2016,0.1724137931034483,0.25853492605547795,0.23427768600890642,6.551848365745957,0.0
Sun Mar 13 00:00:00 CET 2016,0.1724137931034483,0.25853492605547795,0.23427768600890642,6.551848365745957,0.0
