Time,Avg. messages per day,Sentiment,Emotionality,Complexity,Influence
Thu Jan 12 00:00:00 CET 2017,6.973513328776479,0.48564953291183643,0.2698560092396408,5.749073008611752,0.0
Fri Jan 13 00:00:00 CET 2017,7.116370471633621,0.49356092536990126,0.26498169459451815,5.814534917388875,0.003994429987669338
Sat Jan 14 00:00:00 CET 2017,7.68779904306219,0.4830832694682363,0.28048281424419524,5.706370863204341,0.03431586642421274
Sun Jan 15 00:00:00 CET 2017,8.830656185919329,0.45366502930675473,0.2710160143780998,5.684462727019726,0.018549116986060942
Mon Jan 16 00:00:00 CET 2017,13.068751424014552,0.42418986151801685,0.24742389439278248,5.929527795096674,0.0059165286938297834
Tue Jan 17 00:00:00 CET 2017,14.687799043062165,0.4347030150710714,0.2505137508339704,6.00782437252533,0.004799421877512272
Wed Jan 18 00:00:00 CET 2017,15.259227614490735,0.4400736277396921,0.24910047120746265,5.996469596702483,0.004575448856561699
Thu Jan 19 00:00:00 CET 2017,15.640179995443114,0.43809059676618034,0.250812773413779,5.998466020424188,0.004456606029118538
Fri Jan 20 00:00:00 CET 2017,16.163989519252638,0.4375875968431163,0.2512312568669321,6.000856410666278,0.004210535757572116
Sat Jan 21 00:00:00 CET 2017,17.544941900205014,0.44489501879330723,0.24984496824012167,6.01428812307617,0.008437271387918846
Sun Jan 22 00:00:00 CET 2017,20.21160856687167,0.43923515891091597,0.2509238464134983,5.9821406372079275,0.06280340567474625
Mon Jan 23 00:00:00 CET 2017,16.770050125313233,0.4408244380770247,0.2518797194382944,5.963282256502658,0.0548583383697327
Tue Jan 24 00:00:00 CET 2017,17.293859649122755,0.43984348991048916,0.25220728171108936,5.958203623878512,0.054445869660185844
Wed Jan 25 00:00:00 CET 2017,17.436716791979897,0.43984348991048916,0.25220728171108936,5.958203623878512,0.054445869660185844
Thu Jan 26 00:00:00 CET 2017,17.627192982456087,0.43922451508590443,0.25229875717160327,5.961398425190014,0.0540395572000352
Fri Jan 27 00:00:00 CET 2017,18.86528822055132,0.4462035313959137,0.2522618494961483,5.945930165396627,0.051356742303579554
Sat Jan 28 00:00:00 CET 2017,18.960526315789416,0.4462035313959137,0.2522618494961483,5.945930165396627,0.051356742303579554
Sun Jan 29 00:00:00 CET 2017,19.2462406015037,0.4462035313959137,0.2522618494961483,5.945930165396627,0.051356742303579554
Mon Jan 30 00:00:00 CET 2017,20.246240601503697,0.44666849465730785,0.252096338977194,5.949558371920654,0.06476200783293046
Tue Jan 31 00:00:00 CET 2017,21.273809523809458,0.4442166294844189,0.25368948921938494,5.963740318006511,0.06088037329404819
Wed Feb 01 00:00:00 CET 2017,20.71428571428565,0.4437427055381079,0.253177521090751,5.954730878174288,0.06286344734271426
Thu Feb 02 00:00:00 CET 2017,21.238095238095173,0.44558875284116956,0.252616070859519,5.941741570659606,0.06030961979441649
Fri Feb 03 00:00:00 CET 2017,21.761904761904695,0.4432506542588357,0.2518067490664984,5.934575963774884,0.05920971173657202
Sat Feb 04 00:00:00 CET 2017,21.47619047619041,0.44239329912529235,0.25053039302637087,5.950724734080183,0.05798367914557329
Sun Feb 05 00:00:00 CET 2017,20.52380952380946,0.442510723612779,0.2500167641477337,5.9583627614592904,0.060627886012146665
Mon Feb 06 00:00:00 CET 2017,16.380952380952333,0.4536419925323825,0.2547437165604441,5.928584493142622,0.08163491669179397
Tue Feb 07 00:00:00 CET 2017,14.857142857142813,0.45011874168313415,0.2535287201795336,5.87275424575428,0.0926008010235275
Wed Feb 08 00:00:00 CET 2017,16.28571428571424,0.4402894593871807,0.2542822833193894,5.9216935650541735,0.08163491669179397
Thu Feb 09 00:00:00 CET 2017,16.666666666666618,0.44402323809279765,0.25344090362379024,5.91486046635937,0.08127843233942807
Fri Feb 10 00:00:00 CET 2017,16.571428571428523,0.4445772226201684,0.2526811781171835,5.916142449665645,0.08309268306129029
Sat Feb 11 00:00:00 CET 2017,15.238095238095193,0.4387374767412866,0.25404631486759466,5.896366172018754,0.08665119483713196
Sun Feb 12 00:00:00 CET 2017,12.571428571428536,0.4451464305913056,0.25375028084365897,5.9074086439865265,0.030919076617972312
Mon Feb 13 00:00:00 CET 2017,10.952380952380922,0.4357632549926628,0.24990656118116772,5.927579763044431,0.03625124703330215
Tue Feb 14 00:00:00 CET 2017,10.761904761904733,0.43993585897431625,0.24813785627422993,5.924847794909518,0.035457424105565606
Wed Feb 15 00:00:00 CET 2017,10.952380952380922,0.4381143297023199,0.24705379980262684,5.907264079462239,0.03420892325677809
Thu Feb 16 00:00:00 CET 2017,11.38095238095235,0.43995937693090187,0.2471282143083139,5.899386860843,0.03260179263397643
Fri Feb 17 00:00:00 CET 2017,10.23809523809521,0.4285713122683915,0.24998737888866837,5.9082800147397565,0.035718140459283
Sat Feb 18 00:00:00 CET 2017,10.190476190476163,0.4285713122683915,0.24998737888866837,5.9082800147397565,0.035718140459283
Sun Feb 19 00:00:00 CET 2017,10.04761904761902,0.4256658572782531,0.2510095932656728,5.90620498938255,0.03520048624972818
Mon Feb 20 00:00:00 CET 2017,9.380952380952357,0.425318673171555,0.2515276789428218,5.87695853380388,3.2179763952057834E-4
Tue Feb 21 00:00:00 CET 2017,8.142857142857123,0.4287277984153761,0.24679526456275164,5.823058773864103,3.77890806042514E-4
Wed Feb 22 00:00:00 CET 2017,8.476190476190455,0.43480100830693197,0.2481333157444856,5.856478744487993,3.6131664788275464E-4
Thu Feb 23 00:00:00 CET 2017,7.666666666666648,0.42467791189434784,0.24631351291494596,5.877980789652801,4.1190097858634025E-4
