Betweenness centrality oscillation,Alter Nudges,Closeness centrality,Messages sent,Reach forward 1,avg sentiment,Betweenness centrality,Alter ART [h],Degree centrality,most common words (influence),avg complexity,total influence,Messages received,Messages total,Contribution index,Ego ART [h],avg emotionality,average influence per message,Contribution index oscillation,Ego Nudges,messages sent (influence),most influential words,Community,Uuid,Name,Starttime,Endtime
0,,0.00916614288707312,1,0,0.5,0.0,,2.0,,0.0,,2,3,-0.3333333333333333,,0.5,,0,,,,255,1305080,HadrienG2,1970-01-01T01:00:00.000+01:00,2019-12-08T17:14:44.000+01:00
1,,0.009251101321585903,19,2,0.3700481573182628,28.776212676212687,,4.0,,5.554337731014193,0.0,21,40,-0.05,,0.28455590087198396,0.0,4,,3,,173,22453358,Shatur95,1970-01-01T01:00:00.000+01:00,2019-12-08T17:14:43.000+01:00
0,,0.009195362034539531,2,0,0.08935969463669097,0.0,,2.0,,6.405947792574778,,4,6,-0.3333333333333333,,0.23489892417004132,,0,,,,273,911165,bitstrings,1970-01-01T01:00:00.000+01:00,2019-12-08T17:14:43.000+01:00
0,,0.0019011406844106464,1,0,0.5,0.0,,1.0,,0.0,,1,2,0.0,,0.5,,0,,,,242,4588823,Beckfield,1970-01-01T01:00:00.000+01:00,2019-12-08T17:14:43.000+01:00
0,,0.009209880008420462,1,0,0.5,0.0,,3.0,,0.0,,3,4,-0.5,,0.5,,0,,,,261,1482547,pjobson,1970-01-01T01:00:00.000+01:00,2018-06-05T22:28:04.000+02:00
3,,0.009233529142776743,27,8,0.4742064939677405,1350.196031746032,,9.0,github; sysmonitor@orcus; author; username; ,5.730684068263959,0.8145420794684023,10,37,0.4594594594594595,,0.26019689595700296,0.047914239968729545,12,,17,github; username; author; ,338,12608598,OrcusCZ,1970-01-01T01:00:00.000+01:00,2019-12-08T17:14:43.000+01:00
0,,0.0019011406844106464,1,0,0.5,0.0,,1.0,,0.0,,1,2,0.0,,0.5,,0,,,,112,1215497,patrickelectric,1970-01-01T01:00:00.000+01:00,2017-09-27T13:21:29.000+02:00
0,,0.009233366749327284,2,0,0.7197889832065788,0.0,,4.0,,4.752605147656927,,5,7,-0.42857142857142855,,0.3273242731973083,,0,,,,231,16517945,magellan-13016,1970-01-01T01:00:00.000+01:00,2017-05-17T20:33:40.000+02:00
0,,0.009229957805907173,1,1,0.6281550412954574,0.0,,1.0,bownz; cinnamon; donate; community; ,5.062511832430378,0.10467439717028665,0,1,1.0,,0.3093834344226132,0.10467439717028665,0,,1,cinnamon; ,0,1566902,Bownz,1970-01-01T01:00:00.000+01:00,2017-08-17T10:58:06.000+02:00
0,,0.0019011406844106464,1,0,0.5,0.0,,1.0,,0.0,,1,2,0.0,,0.5,,0,,,,282,9104489,omidmaldar,1970-01-01T01:00:00.000+01:00,2019-09-16T10:56:34.000+02:00
0,,0.0019011406844106464,1,0,0.5,0.0,,1.0,,0.0,,1,2,0.0,,0.5,,0,,,,174,26124850,Bundy01,1970-01-01T01:00:00.000+01:00,2019-09-29T21:13:05.000+02:00
0,,0.0019011406844106464,1,0,0.5,0.0,,1.0,,0.0,,1,2,0.0,,0.5,,0,,,,311,30502462,evezers,1970-01-01T01:00:00.000+01:00,2018-02-07T15:18:24.000+01:00
0,,0.009167263266339555,1,1,0.6032670228202455,0.0,,1.0,,9.975089757665357,0.0,0,1,1.0,,0.24437760738109612,0.0,0,,1,,2,24573502,Privacy-Badger-User,1970-01-01T01:00:00.000+01:00,2019-01-24T01:45:48.000+01:00
0,,0.009229957805907173,1,1,0.3661740555492956,0.0,,1.0,,5.939319810068087,0.0,0,1,1.0,,0.3645681321310567,0.0,0,,1,,0,1332311,mordant23,1970-01-01T01:00:00.000+01:00,2017-08-17T10:58:06.000+02:00
0,,0.009247027741083224,31,0,0.2721058454561385,0.0,,3.0,,6.273480371519558,,35,66,-0.06060606060606061,,0.3063914192108918,,0,,,,347,5292264,KAMI911,1970-01-01T01:00:00.000+01:00,2019-04-15T00:52:56.000+02:00
0,,0.009179766047105313,3,1,0.45142147853362324,0.0,,2.0,,6.272500542407602,0.0,2,5,0.2,,0.25172133367926397,0.0,1,,1,,187,6692701,evg-zhabotinsky,1970-01-01T01:00:00.000+01:00,2018-04-23T11:55:28.000+02:00
0,,0.009197133997862761,1,1,0.18151234106122094,0.0,,1.0,,5.051994812675913,0.0,0,1,1.0,,0.2951321626322499,0.0,0,,1,,5,7842664,mfreeman72,1970-01-01T01:00:00.000+01:00,2017-08-18T16:33:48.000+02:00
0,,0.009195362034539531,1,0,0.5,0.0,,2.0,,0.0,,2,3,-0.3333333333333333,,0.5,,0,,,,186,388669,spantaleev,1970-01-01T01:00:00.000+01:00,2018-11-26T00:51:44.000+01:00
0,,0.009158148135226599,1,1,0.6736679871827327,0.0,,1.0,,7.0675295199547445,0.0,0,1,1.0,,0.27674703684050955,0.0,0,,1,,14,15679274,geocohn,1970-01-01T01:00:00.000+01:00,2017-07-03T09:46:24.000+02:00
0,,0.0019011406844106464,1,0,0.5,0.0,,1.0,,0.0,,1,2,0.0,,0.5,,0,,,,239,4692881,berturion,1970-01-01T01:00:00.000+01:00,2017-09-13T07:12:35.000+02:00
0,,0.009163583048244084,1,1,0.48386011115801286,0.0,,1.0,,7.389002363835391,0.0,0,1,1.0,,0.457326885258528,0.0,0,,1,,15,7975190,abanach,1970-01-01T01:00:00.000+01:00,2018-10-04T04:25:52.000+02:00
0,,0.009180087079683156,2,1,0.31230626687310303,0.0,,1.0,,6.067531495304137,0.0,0,2,1.0,,0.2685937987547935,0.0,0,,1,,42,963849,jonorthwash,1970-01-01T01:00:00.000+01:00,2017-01-22T15:34:15.000+01:00
0,,0.009224768062974417,2,0,0.2396056673253725,418.0,,3.0,,5.829204141158322,,6,8,-0.5,,0.28325305637849385,,0,,,,1,35506956,PedePanoOriginal,1970-01-01T01:00:00.000+01:00,2018-04-29T07:55:06.000+02:00
0,,0.009189889371236522,2,1,0.6214687569341701,0.0,,1.0,,6.161754529411349,0.0,0,2,1.0,,0.24650044731479132,0.0,0,,2,,21,11512247,alex-t-grecu,1970-01-01T01:00:00.000+01:00,2018-03-05T23:04:11.000+01:00
3,,0.009238078479676228,8,0,0.3184515762750399,8.62228311614501,,5.0,,5.645452403603948,,13,21,-0.23809523809523808,,0.28132944116364983,,0,,,,328,159784,d3xter,1970-01-01T01:00:00.000+01:00,2019-12-08T17:14:44.000+01:00
0,,0.009231093840662528,3,0,0.6894531667556993,0.0,,3.0,,5.290927488684489,,6,9,-0.3333333333333333,,0.32280655585795126,,0,,,,68,307312,jbaldassari,1970-01-01T01:00:00.000+01:00,2017-10-06T02:40:01.000+02:00
0,,0.009199229016996671,5,0,0.23943993520222015,0.0,,2.0,,6.139263895567179,,8,13,-0.23076923076923078,,0.3282038171599007,,0,,,,89,6375299,igorer88,1970-01-01T01:00:00.000+01:00,2019-08-04T18:22:32.000+02:00
1,,0.00922833538407453,8,0,0.5692624581743744,9.2,,4.0,,6.69541527074647,,17,25,-0.36,,0.2862857445713607,,0,,,,305,8362161,donlencho,1970-01-01T01:00:00.000+01:00,2018-07-29T21:27:16.000+02:00
2,,0.009215700042128915,20,0,0.34904273251761325,33.90815610840379,,5.0,,5.988335088186024,,32,52,-0.23076923076923078,,0.2697595275159389,,0,,,,341,38849451,Padre2,1970-01-01T01:00:00.000+01:00,2019-12-08T17:14:43.000+01:00
0,,0.009229957805907173,1,1,0.8354236405948989,0.0,,1.0,spices; ,6.281565817979086,0.5035275371041372,0,1,1.0,,0.3278675669376681,0.5035275371041372,0,,1,spices; ,0,1135267,Lusito,1970-01-01T01:00:00.000+01:00,2017-08-17T10:58:06.000+02:00
0,1.0,0.009230931532862117,52,1,0.5144198018573586,0.0,0.1386111111111111,4.0,,6.501095445120144,0.0,60,112,-0.07142857142857142,,0.2797649314460208,0.0,3,,1,,267,3099270,French77,1970-01-01T01:00:00.000+01:00,2019-11-18T19:28:09.000+01:00
1,1.0,0.009233691541938548,15,4,0.36748927431810025,44.799664068525956,28.953055555555554,5.0,applet; logs; monitor; update; ,5.7142008120420265,0.15461673942452434,22,37,-0.1891891891891892,,0.26213294818063265,0.038654184856131084,3,,4,applet; info; ,269,3285430,SeraphDosSantos,1970-01-01T01:00:00.000+01:00,2019-12-08T17:14:44.000+01:00
1,,0.009241656104773975,17,1,0.4237487776435687,484.2624454360077,,8.0,,5.449733916029429,0.0,44,61,-0.4426229508196721,,0.2542308733930504,0.0,1,,2,,54,10425180,MuhmdRaouf,1970-01-01T01:00:00.000+01:00,2017-12-15T15:20:15.000+01:00
0,,0.009164862788911389,5,1,0.272025270304949,0.0,,1.0,,6.156656625770705,0.0,0,5,1.0,,0.23393684535132442,0.0,0,,5,,4,17310029,Z-42PO,1970-01-01T01:00:00.000+01:00,2017-10-09T07:15:37.000+02:00
0,,0.009230931532862117,1,0,0.5,494.97680375180414,,4.0,,0.0,,8,9,-0.7777777777777778,,0.5,,0,,,,15,18121470,Marcosdw,1970-01-01T01:00:00.000+01:00,2018-10-04T04:25:52.000+02:00
3,,0.009250938309457103,17,0,0.4907294114592327,418.0,,5.0,,5.625453034232613,,32,49,-0.30612244897959184,,0.3214545797970249,,0,,,,46,26191203,Faust30000,1970-01-01T01:00:00.000+01:00,2017-11-20T20:36:45.000+01:00
0,,0.009247353495499622,4,0,0.490652998136256,418.0,,4.0,,5.6668522407947135,,8,12,-0.3333333333333333,,0.2579370472987968,,0,,,,294,2064609,tchiotludo,1970-01-01T01:00:00.000+01:00,2018-04-23T11:55:28.000+02:00
0,,0.009157509157509158,1,1,0.18770031554343086,0.0,,1.0,,6.595819123926404,0.0,0,1,1.0,,0.33600017001259075,0.0,0,,1,,53,16110053,rwpreece,1970-01-01T01:00:00.000+01:00,2017-12-21T23:45:26.000+01:00
0,,0.0019011406844106464,3,0,0.9004897888239405,0.0,,1.0,,6.5159545973166,,3,6,0.0,,0.21327612281207864,,0,,,,219,26720956,xzj8b3,1970-01-01T01:00:00.000+01:00,2019-12-08T17:14:43.000+01:00
0,,0.009200518734008623,3,0,0.4501186388836811,0.0,,2.0,,5.04233006098344,,5,8,-0.25,,0.41739197536857214,,0,,,,203,8392947,broadcastyourseb,1970-01-01T01:00:00.000+01:00,2018-09-06T18:26:36.000+02:00
0,,0.009195362034539531,1,0,0.5,0.0,,2.0,,0.0,,2,3,-0.3333333333333333,,0.5,,0,,,,256,8523131,VijitCoder,1970-01-01T01:00:00.000+01:00,2019-08-03T21:05:24.000+02:00
0,,0.009195362034539531,1,0,0.5,0.0,,2.0,,0.0,,2,3,-0.3333333333333333,,0.5,,0,,,,246,9587692,dimorinny,1970-01-01T01:00:00.000+01:00,2018-08-30T21:28:01.000+02:00
0,,0.009224443897810733,5,0,0.6429478374145206,0.0,,2.0,,6.722407766208146,,7,12,-0.16666666666666666,,0.2619464142262923,,0,,,,100,3799212,mcarans,1970-01-01T01:00:00.000+01:00,2018-07-19T10:26:22.000+02:00
0,,0.0019011406844106464,2,0,0.4747259231635081,0.0,,1.0,,7.32139615673776,,2,4,0.0,,0.2370217273940053,,0,,,,214,8080648,Floyer007,1970-01-01T01:00:00.000+01:00,2019-05-03T11:44:13.000+02:00
0,,0.009230120079466938,3,0,0.2569411049062825,0.0,,3.0,,5.605542324308836,,5,8,-0.25,,0.2578011010491492,,0,,,,320,8690921,ivanhercaz,1970-01-01T01:00:00.000+01:00,2019-12-08T17:14:44.000+01:00
2,,0.009201970097979071,3,2,0.018577621163541645,19.585281385281384,,3.0,,5.18285327541916,0.0,3,6,0.0,,0.3256702876795623,0.0,3,,2,,13,57449361,jaszhix2,1970-01-01T01:00:00.000+01:00,2019-11-18T19:27:28.000+01:00
0,,0.009230282358732727,4,1,0.6450890987176062,0.0,,2.0,,4.870188653231573,0.0,3,7,0.14285714285714285,,0.2882130656483404,0.0,1,,2,,314,30942966,ctrlesc,1970-01-01T01:00:00.000+01:00,2017-11-01T17:38:59.000+01:00
0,,0.00917415160940831,2,1,0.46320291455165263,0.0,,1.0,,4.93498124022997,0.0,0,2,1.0,,0.2482596663844856,0.0,0,,2,,3,3834659,dopeboy,1970-01-01T01:00:00.000+01:00,2019-01-31T22:09:51.000+01:00
0,,0.00912535632343739,1,0,0.5,0.0,,2.0,,0.0,,2,3,-0.3333333333333333,,0.5,,0,,,,33,4314988,accensi,1970-01-01T01:00:00.000+01:00,2018-11-11T18:35:53.000+01:00
4,,0.00924767927286819,20,0,0.24537055243453817,834.0,,4.0,,5.95853714734426,,31,51,-0.21568627450980393,,0.2748854840035017,,0,,,,29,1537688,coderforlife,1970-01-01T01:00:00.000+01:00,2018-09-08T20:28:13.000+02:00
1,,0.00923515339150014,22,3,0.43293649903268044,0.2,,4.0,pt_br; translations; applet; functioning; ,6.27220482834633,0.23208360173299106,15,37,0.1891891891891892,,0.2507718719640905,0.029010450216623882,3,,8,applet; translations; translation; purpose; ,150,1733538,linux-man,1970-01-01T01:00:00.000+01:00,2019-01-12T04:28:09.000+01:00
0,,0.009185065957521258,1,1,0.7749450373597938,0.0,,1.0,,6.769427847855815,,0,1,1.0,,0.23980074494469214,,0,,,,18,4663298,anandrkris,1970-01-01T01:00:00.000+01:00,2017-02-02T12:06:27.000+01:00
