Name,UUID,Source,Target,Starttime,Endtime,Planned_Duration,Real_Duration,Status,Count_Subtasks,Count_Comments,Comment_Body,Edge_type
view zoom,d0140058-3b7b-4e0c-9d8e-be8ae8d8faba,8640309,31071746,2018-09-02T21:58:44.000+02:00,2019-12-08T17:06:42.000+01:00,,,open,,4,"version 2.2.3 the keys does also not work for me. But Ctrl + Scrollwheel works. Thees keys are not shown in the Help -&gt; Shortcuts Window. I would actually prefer `Ctrl + +` and `Ctrl + -` to zoom in and out, because of my german keyboard layout.",COMMENT
RFE: support for very large text files,6faa83a2-5d49-4f4b-831e-064c66fda6e8,2231759,1997316,2018-08-28T09:27:36.000+02:00,2019-12-08T17:06:42.000+01:00,,,open,,1,"Thanks for the feedback. Unfortunately most of what you brought up is out of our hands. Xed, like GEdit,  is based on GtkSourceView and these are limitations of that.",COMMENT
feature request - list of recently opened files - that are removable from the list,d785f9e3-28b2-4fe5-b786-a390f88af409,3486503,34676884,2018-08-27T20:43:18.000+02:00,2019-12-08T17:06:42.000+01:00,,,open,,1,I strongly support this.,COMMENT
Allow pkexec xed,2d40eacb-9f94-4649-98fa-7cdaf4f46691,10137,35854226,2018-07-16T20:54:26.000+02:00,2019-12-08T17:06:42.000+01:00,,,open,,1,"Thanks, goebbe, for the file - it will be handy for me.",COMMENT
Pressing Ctrl key spike up CPU load,154efcc3-6146-4432-b2bd-c30e0484f852,20264855,20264855,2018-07-09T04:21:36.000+02:00,2019-12-08T17:06:42.000+01:00,,,open,,1,"[Issue remains, same machine] It's now xed - Version 2.0.2 on LM 19.1. And my graphics info had changed as follows:  Device-1: Intel HD Graphics 530 driver: i915 v: kernel  Device-2: NVIDIA GM107M [GeForce GTX 960M] driver: nvidia v: 390.77  Display: x11 server: X.Org 1.19.6 driver: modesetting,nvidia unloaded: fbdev,nouveau,vesa  resolution: 1920x1080~60Hz  OpenGL: renderer: GeForce GTX 960M/PCIe/SSE2 v: 4.6.0 NVIDIA 390.77 ",COMMENT
Restoring open tabs between xed sessions,32ef63e5-811e-43ee-8378-4ec30f1e2c49,30041840,37563017,2018-05-11T06:08:38.000+02:00,2019-12-08T17:06:42.000+01:00,,,open,,2,"HI, I would also like to keep the files open, even those NOT SAVED ... ",COMMENT
Restoring open tabs between xed sessions,bec71246-2aa5-4934-9e3e-1784bf284293,24928585,37563017,2018-05-11T06:08:38.000+02:00,2019-12-08T17:06:42.000+01:00,,,open,,2,"Agreed. Remembering tabs is the only major thing missing from xed right now, at least given how I use it, which is mostly for sysadmin stuff. It's nice having the most commonly needed system files pop up by default every time I start geany. Something similar under xed would be awesome. I'm using version 1.8.2 under Mint 19.",COMMENT
Restoring open tabs between xed sessions,bb7699da-b85d-41c4-ae5f-79f10f6bb9e0,41977288,37563017,2018-05-11T06:08:38.000+02:00,2019-12-08T17:06:42.000+01:00,,,open,,2,"Version 1.8.3 on Mint 19 here.  I concur. I'm migrating from Notepad++ on Windows and TextEdit on Mac OS and, both of which have this feature. While I'm still looking around at various text editor options, I'm pretty fond of the straightforwardness of xed thus far. The ability to reopen my files at application start would be great and move xed more into my regular rotation.",COMMENT
Feature Request: highlight selected word occurances,536597b2-3e8c-4822-820c-6b3d0ab2d234,6215449,6215449,2018-03-15T23:31:26.000+01:00,2019-12-08T17:06:42.000+01:00,,,open,,8,"I tried implementing this myself, but it turned out very difficult, because Xed code is almost entirely devoid of comments (see #252).  Can someone familiar with the Xed source code point me to some code/locations that can help me? Would it be easier to implement as plugin, or better to integrate with core code? Or perhaps implementation is so trivial that might less time consuming to implement this feature rather than comment code and/or to explain it to me? Can I assume the document gtk widget has a word occurrence highlight feature? I looked at the existing text search code, but it's hard to make sense of things without comments.  Suggestions are welcome.",COMMENT
Feature Request: highlight selected word occurances,120304e4-ba8a-42fe-8edc-1e1cd6d9add0,6215449,6215449,2018-03-15T23:31:26.000+01:00,2019-12-08T17:06:42.000+01:00,,,open,,8,"By the way, for users in need of this feature, one could use Kate (or Kedit, a simpler version of Kate), which has this basic feature out-of-the-box.  Or alternatively, if you want something closer to Xed, install an older version of gedit, with another plugin providing word highlighting functionality: https://forums.linuxmint.com/viewtopic.php?t=227651 https://github.com/mmuell23/mmuell23/tree/master/gedittools  You can install gedit 2 safely alongside Xed. I did edit /usr/share/applications/gedit.desktop to change the name &quot;Text Editor&quot; to &quot;gedit&quot;, to avoid confusion with Xed. The &quot;Smart Highlight&quot; plugin I mentioned earlier does not work with gedit 2, so use &quot;gedittools&quot; instead.",COMMENT
